state_fips,county_fips,state,county,TOT_POP,MALE_PERC,FEMALE_PERC,WHITE_POP_PERC,BLACK_POP_PERC,ASIAN_POP_PERC,HISP_POP_PERC,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
1,67,Alabama,Henry County,17209,0.48230577023650417,0.5176942297634959,0.7271776396071823,0.27142774129815794,0.005404148991806613,0.026730199314312277,915,1986,1841,1852,2051,2264,2390,2362,1125,423
1,69,Alabama,Houston County,104722,0.4801856343461737,0.5198143656538263,0.7085139703214224,0.2833406543037757,0.014600561486602624,0.03438627986478486,6350,13415,12440,13648,12878,13484,13868,10921,5681,2037
1,71,Alabama,Jackson County,51736,0.49076078552651925,0.5092392144734808,0.9394038967063554,0.043509355187876915,0.007576929024277099,0.02953456007422298,2776,6007,5852,5864,6199,6960,7705,6080,3336,957
1,73,Alabama,Jefferson County,659300,0.47260882754436523,0.5273911724556347,0.5425178219323525,0.4416578188988321,0.021166388593963293,0.03980888821477324,41882,83897,82584,95925,83467,80367,86631,61585,29519,13443
1,75,Alabama,Lamar County,13844,0.4888038139266108,0.5111961860733892,0.88868824039295,0.11485119907541173,0.003178272175671771,0.016902629297890784,743,1671,1536,1496,1566,1812,2022,1648,1024,326
1,77,Alabama,Lauderdale County,92387,0.4797969411280808,0.5202030588719192,0.8854925476528083,0.10979899769448083,0.009990583090694578,0.028618745061534633,4734,10161,13684,11007,9927,11657,12654,10595,5873,2095
1,79,Alabama,Lawrence County,32957,0.48690718208574807,0.5130928179142519,0.8282003823163516,0.11827532845829414,0.0052492641927359895,0.02227144460964287,1810,4063,3692,3965,3699,4705,4872,3666,1927,558
1,81,Alabama,Lee County,163941,0.491878175685155,0.508121824314845,0.720637302444172,0.23920800775888887,0.04740729896731141,0.03759889228441939,9629,19594,35231,23253,19742,19328,17683,12160,5520,1801
1,83,Alabama,Limestone County,96174,0.5007174496225592,0.4992825503774409,0.8334789028219686,0.1493646931603136,0.020670867386195852,0.06145111984528043,5393,12356,11190,12539,13080,14081,12927,8822,4395,1391
1,85,Alabama,Lowndes County,9974,0.4682173651493884,0.5317826348506116,0.2656907960697814,0.7286946059755364,0.005113294565871266,0.01734509725285743,614,1268,1133,1244,1064,1270,1501,1069,596,215
